,Pathway,N,DE,P.DE
hsa05208,Chemical carcinogenesis - reactive oxygen species,227,0,1
hsa05210,Colorectal cancer,87,0,1
hsa05211,Renal cell carcinoma,70,0,1
hsa05212,Pancreatic cancer,77,0,1
hsa05213,Endometrial cancer,59,0,1
hsa05214,Glioma,76,0,1
hsa05215,Prostate cancer,98,0,1
hsa05216,Thyroid cancer,37,0,1
hsa05217,Basal cell carcinoma,63,0,1
hsa05218,Melanoma,73,0,1
hsa05219,Bladder cancer,41,0,1
hsa05220,Chronic myeloid leukemia,77,0,1
hsa05221,Acute myeloid leukemia,68,0,1
hsa05222,Small cell lung cancer,93,1,0.223849244666578
hsa05223,Non-small cell lung cancer,73,0,1
hsa05224,Breast cancer,148,0,1
hsa05225,Hepatocellular carcinoma,170,0,1
hsa05226,Gastric cancer,150,0,1
hsa05230,Central carbon metabolism in cancer,71,1,0.175699679242104
hsa05231,Choline metabolism in cancer,99,0,1
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,90,1,0.217445832924865
hsa05310,Asthma,32,0,1
hsa05320,Autoimmune thyroid disease,54,2,0.00922345061531626
hsa05321,Inflammatory bowel disease,66,0,1
hsa05322,Systemic lupus erythematosus,144,0,1
hsa05323,Rheumatoid arthritis,95,1,0.228090256296807
hsa05330,Allograft rejection,39,2,0.0048955357293157
hsa05332,Graft-versus-host disease,45,3,0.000229553933443752
hsa05340,Primary immunodeficiency,38,3,0.000138178313831442
hsa05410,Hypertrophic cardiomyopathy,99,1,0.236505751693516
hsa05412,Arrhythmogenic right ventricular cardiomyopathy,86,1,0.208829156481207
hsa05414,Dilated cardiomyopathy,105,1,0.248964336831735
hsa05415,Diabetic cardiomyopathy,205,0,1
hsa05416,Viral myocarditis,70,1,0.173444411606652
hsa05417,Lipid and atherosclerosis,216,1,0.447181044404136
hsa05418,Fluid shear stress and atherosclerosis,141,0,1
